probe_set_id,genechip_array,species_scientific_name,annotation_date,sequence_type,sequence_source,transcript_id,target_description,representative_public_id,archival_unigene_cluster,unigene_id,genome_version,alignments,gene_symbol,chromosomal_location,unigene_cluster_type,ensembl,entrez_gene,ec,omim,refseq_protein_id,refseq_transcript_id,flybase,agi,wormbase,mgi_name,rgd_name,sgd_accession_number,qtl,annotation_description,gene_title_des
1438_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Exemplar sequence,Affymetrix Proprietary Database,X75208cds,X75208 /FEATURE=cds /DEFINITION=HSPTKR H.sapiens HEK2 mRNA for protein tyrosine kinase receptor,X75208,---,Hs.2913,March 2006 (NCBI Build 36.1),chr3:185762717-185782104 (+) // 97.2 // q27.1,EPHB3,chr3q21-qter,full length,---,2049,EC:2.7.10.1,601839,NP_004434.2,NM_004443,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,EPH receptor B3
1487_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Exemplar sequence,Affymetrix Proprietary Database,L38487mRNA," L38487 /FEATURE=mRNA /DEFINITION=HUMHERRA1 Human estrogen receptor-related protein (hERRa1) mRNA, 3' end, partial cds ",L38487,---,Hs.110849,March 2006 (NCBI Build 36.1),chr11:63829619-63840786 (+) // 97.02 // q13.1,ESRRA,chr11q13,full length,ENSG00000173153,2101,---,601998,NP_004442.3,NM_004451,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 4 transcripts. // false // Matching Probes // A,estrogen-related receptor alpha
1494_f_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Exemplar sequence,Affymetrix Proprietary Database,M33318mRNA," M33318 /FEATURE=mRNA /DEFINITION=HUMCPIIA3A Human cytochrome P450IIA3 (CYP2A3) mRNA, complete cds ",M33318,---,Hs.439056,March 2006 (NCBI Build 36.1),chr19:46286211-46293938 (+) // 86.67 // q13.2 /// chr19:46041286-46048179 (-) // 98.4 // q13.2 /// chr19:46073184-46079963 (-) // 90.85 // q13.2,CYP2A6,chr19q13.2,full length,ENSG00000198077,1548,EC:1.14.14.1,122700 /// 122720 /// 188890 /// 211980,NP_000753.2,NM_000762,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,"cytochrome P450, family 2, subfamily A, polypeptide 6"
1552256_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.180616.1,"gb:NM_005505.2 /DB_XREF=gi:21361199 /GEN=SCARB1 /TID=Hs2.180616.1 /CNT=302 /FEA=FLmRNA /TIER=FL+Stack /STK=102 /LL=949 /UG=Hs.180616 /DEF=Homo sapiens scavenger receptor class B, member 1 (SCARB1), mRNA. /PROD=scavenger receptor class B, member 1 /FL=gb:NM_005505.2",NM_005505,Hs.180616,Hs.298813,March 2006 (NCBI Build 36.1),chr12:123827779-123914472 (-) // 91.77 // q24.31,SCARB1,chr12q24.31,full length,ENSG00000073060,949,---,601040,NP_001076428.1 /// NP_005496.4,NM_001082959 /// NM_005505,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 3 transcripts. // false // Matching Probes // A,"scavenger receptor class B, member 1"
1552257_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.82563.1,"gb:NM_015140.1 /DB_XREF=gi:11056035 /TID=Hs2.82563.1 /CNT=210 /FEA=FLmRNA /TIER=FL+Stack /STK=57 /LL=23170 /UG_GENE=KIAA0153 /UG=Hs.82563 /UG_TITLE=KIAA0153 protein /DEF=Homo sapiens KIAA0153 protein (KIAA0153), mRNA. /FL=gb:NM_015140.1 gb:BC001070.1",NM_015140,Hs.82563,Hs.517670,March 2006 (NCBI Build 36.1),chr22:41892183-41913083 (-) // 97.86 // q13.2,TTLL12,chr22q13.31,full length,ENSG00000100304,23170,---,---,NP_055955.1,NM_015140,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,"tubulin tyrosine ligase-like family, member 12"
1552258_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.432419.1,"gb:NM_052871.1 /DB_XREF=gi:16418372 /TID=Hs2.432419.1 /CNT=37 /FEA=FLmRNA /TIER=FL+Stack /STK=25 /LL=112597 /UG_GENE=MGC4677 /UG=Hs.432419 /UG_TITLE=hypothetical protein MGC4677 /DEF=Homo sapiens hypothetical protein MGC4677 (MGC4677), mRNA. /FL=gb:BC010491.1 gb:NM_052871.1",NM_052871,Hs.432419,Hs.652166,March 2006 (NCBI Build 36.1),chr2:87600552-87602149 (+) // 86.57 // p11.2 /// chr2:111903359-111904956 (-) // 86.27 // q13,MGC4677,chr2p11.2,full length,---,112597,---,---,NP_443103.1,NM_052871,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,hypothetical protein MGC4677
1552261_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.2719.2,"gb:NM_080735.1 /DB_XREF=gi:18379359 /GEN=WFDC2 /TID=Hs2.2719.2 /CNT=26 /FEA=FLmRNA /TIER=FL+Stack /STK=23 /LL=10406 /UG=Hs.2719 /DEF=Homo sapiens WAP four-disulfide core domain 2 (WFDC2), transcript variant 5, mRNA. /PROD=WAP four-disulfide core domain 2, isoform 5 /FL=gb:NM_080735.1 gb:AF330261.1",NM_080735,Hs.2719,Hs.2719,March 2006 (NCBI Build 36.1),chr20:43541583-43543585 (+) // 86.78 // q13.12,WFDC2,chr20q12-q13.2,full length,---,10406,---,---,NP_006094.3 /// NP_542772.1 /// NP_542773.1 /// NP_542774.1,NM_006103 /// NM_080734 /// NM_080735 /// NM_080736,---,---,---,---,---,---,---,This probe set was annotated using the Genome Target Overlap based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Genome Target Overlap // B,WAP four-disulfide core domain 2
1552263_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.324473.2,"gb:NM_138957.1 /DB_XREF=gi:20986530 /GEN=MAPK1 /TID=Hs2.324473.2 /CNT=74 /FEA=FLmRNA /TIER=FL+Stack /STK=16 /LL=5594 /UG=Hs.324473 /DEF=Homo sapiens mitogen-activated protein kinase 1 (MAPK1), transcript variant 2, mRNA. /PROD=mitogen-activated protein kinase 1 /FL=gb:NM_138957.1 gb:BC017832.1",NM_138957,Hs.324473,Hs.431850,March 2006 (NCBI Build 36.1),chr22:20453318-20551970 (-) // 90.38 // q11.21,MAPK1,chr22q11.2|22q11.21,full length,---,5594,EC:2.7.1.-,176948,NP_002736.3 /// NP_620407.1,NM_002745 /// NM_138957,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 1 transcripts. // false // Matching Probes // A,mitogen-activated protein kinase 1
1552264_a_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.324473.2,"gb:NM_138957.1 /DB_XREF=gi:20986530 /GEN=MAPK1 /TID=Hs2.324473.2 /CNT=74 /FEA=FLmRNA /TIER=FL+Stack /STK=16 /LL=5594 /UG=Hs.324473 /DEF=Homo sapiens mitogen-activated protein kinase 1 (MAPK1), transcript variant 2, mRNA. /PROD=mitogen-activated protein kinase 1 /FL=gb:NM_138957.1 gb:BC017832.1",NM_138957,Hs.324473,Hs.431850,March 2006 (NCBI Build 36.1),chr22:20453318-20551970 (-) // 90.38 // q11.21,MAPK1,chr22q11.2|22q11.21,full length,---,5594,EC:2.7.1.-,176948,NP_002736.3 /// NP_620407.1,NM_002745 /// NM_138957,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 4 transcripts. // false // Matching Probes // A,mitogen-activated protein kinase 1
1552266_at,Human Genome U133 Plus 2.0 Array,Homo sapiens,11-Jul-07,Consensus sequence,GenBank,Hs2.338203.1,"gb:NM_145004.1 /DB_XREF=gi:21450712 /TID=Hs2.338203.1 /CNT=38 /FEA=FLmRNA /TIER=FL+Stack /STK=15 /LL=203102 /UG_GENE=MGC26899 /UG=Hs.338203 /UG_TITLE=hypothetical protein MGC26899 /DEF=Homo sapiens a disintegrin and metalloprotease domain 32 (ADAM32), mRNA. /FL=gb:BC030698.1 gb:NM_145004.1 gb:BC030014.1 gb:BC026085.1 gb:BC028702.1 gb:BC026169.1 gb:BC034975.1",NM_145004,Hs.338203,Hs.521545,March 2006 (NCBI Build 36.1),chr8:39084393-39261587 (+) // 95.65 // p11.23,ADAM32,chr8p11.23,full length,ENSG00000197140,203102,---,---,NP_659441.2 /// XP_001131733.1,NM_145004 /// XM_001131733,---,---,---,---,---,---,---,This probe set was annotated using the Matching Probes based pipeline to a Entrez Gene identifier using 2 transcripts. // false // Matching Probes // A,ADAM metallopeptidase domain 32
